Mode,Polarity,Channel,In-Phase Step,Wrose Phase Step,Conv. Step,mW_Step,mW %,Main Ch mW,Ref. Ch mW
RX,H,1,1,3,35,18,9.643,-44.331,-41.687
RX,H,2,2,18,50,48,3.381,-38.731,-33.928
RX,H,3,3,42,10,21,16.207,-41.353,-43.325
RX,H,4,4,27,59,61,22.507,-42.28,-41.354
RX,H,5,5,57,25,30,4.41,-40.471,-32.084
RX,H,6,6,28,60,44,2.795,-32.453,-39.874
RX,H,7,7,23,55,63,4.255,-35.649,-42.955
RX,H,16,8,33,1,57,22.607,-42.408,-42.042
RX,H,17,9,55,23,22,3.987,-36.116,-33.587
RX,H,18,10,24,56,59,4.127,-41.36,-32.146
RX,H,19,11,59,27,27,22.193,-41.86,-42.546
RX,H,20,12,29,61,51,4.916,-34.849,-42.431
RX,H,21,13,50,18,17,3.377,-31.841,-43.121
RX,H,22,14,12,44,45,3.612,-42.19,-31.757
RX,H,23,15,44,12,12,4.316,-41.273,-31.958
RX,H,32,16,24,56,50,22.151,-40.859,-41.36
RX,H,33,17,52,20,11,17.96,-43.65,-41.168
RX,H,34,18,13,45,37,2.469,-31.29,-43.314
RX,H,35,19,39,7,10,3.943,-32.813,-42.386
RX,H,36,20,8,40,42,22.772,-43.323,-42.929
RX,H,37,21,37,5,22,10.363,-42.086,-42.886
RX,H,38,22,27,59,59,21.787,-41.662,-41.412
RX,H,39,23,56,24,7,10.573,-41.174,-41.786
RX,H,48,24,20,52,45,20.745,-41.46,-40.618
RX,H,49,25,46,14,24,18.184,-41.09,-40.711
RX,H,50,26,27,59,62,3.159,-42.245,-29.99
RX,H,51,27,61,29,20,18.196,-40.924,-42.155
RX,H,52,28,19,51,6,8.94,-43.102,-41.133
RX,H,53,29,47,15,12,10.318,-46.575,-42.772
RX,H,54,30,34,2,1,10.677,-43.61,-46.439
RX,H,55,31,59,27,27,5.01,-41.279,-33.252
